id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,city,state,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,first_review,last_review,date_listed
7021906,"Seattle, Washington, United States",within a few hours,79,71,t,Ballard,4.0,4.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,12,3.5,5.0,7.0,Real Bed,465.0,3035.0,12140.0,1000.0,250.0,3,5,2015-09-18,2015-12-16,2016-05-28
7618605,"Seattle, Washington, United States",within a few hours,71,98,f,Ballard,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,175.0,1225.0,5250.0,250.0,50.0,1,5,2015-08-10,2015-12-01,2016-08-22
10234558,"Seattle, Washington, United States",within an hour,86,73,f,,1.0,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Seattle,WA,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,50.0,350.0,1500.0,,,1,0,,,2016-02-23
7021702,"Seattle, Washington, United States",,99,75,f,Ballard,1.0,1.0,"['email', 'phone']",t,f,Seattle,WA,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,60.0,420.0,1800.0,,,1,0,,,2016-06-16
7680439,"Seattle, Washington, United States",within a few hours,87,92,f,Ballard,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Pull-out Sofa,59.0,351.0,1770.0,,12.0,1,16,2015-08-12,2015-12-20,2016-12-21
4258515,"Seattle, Washington, United States",within an hour,99,94,f,Ballard,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Private room,4,1.0,1.0,4.0,Real Bed,47.0,329.0,1410.0,200.0,15.0,1,23,2015-05-25,2015-10-08,2016-02-04
1148517,"Seattle, Washington, United States",within a day,81,79,f,Ballard,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,145.0,1015.0,4350.0,100.0,45.0,2,45,2013-06-13,2015-09-21,2016-05-16
2487892,"Seattle, Washington, United States",within a few hours,92,71,f,Ballard,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Futon,70.0,490.0,2100.0,,,1,75,2014-03-26,2015-12-20,2016-04-20
3038772,"Seattle, Washington, United States",within an hour,92,73,f,Ballard,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,385.0,1650.0,100.0,25.0,2,86,2014-06-02,2016-01-01,2016-10-24
699460,"Seattle, Washington, United States",within an hour,90,91,t,Ballard,1.0,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Seattle,WA,House,Private room,4,1.0,1.0,2.0,Real Bed,95.0,665.0,2000.0,,30.0,2,151,2012-10-15,2015-12-18,2016-05-12
4085439,"Seattle, Washington, United States",within an hour,74,90,f,Ballard,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,125.0,875.0,3750.0,,,1,6,2014-09-21,2015-05-29,2016-11-15
8053990,"Seattle, Washington, United States",within an hour,70,73,f,Ballard,3.0,3.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,455.0,1950.0,,45.0,1,16,2015-08-30,2015-12-13,2016-12-23
7011773,"Seattle, Washington, United States",within an hour,70,99,f,Ballard,3.0,3.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,House,Private room,1,1.0,1.0,1.0,Pull-out Sofa,25.0,175.0,750.0,,,1,0,,,2016-01-13
2467550,"Seattle, Washington, United States",within an hour,92,76,f,Ballard,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,40.0,250.0,800.0,500.0,50.0,5,0,,,2016-11-24
2686374,"Kirkland, Washington, United States",within an hour,70,87,f,Ballard,4.0,4.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,149.0,1300.0,3950.0,,,1,165,2014-04-14,2016-01-02,2016-07-13
1956274,"Seattle, Washington, United States",within an hour,82,78,t,Ballard,1.0,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,125.0,900.0,3750.0,250.0,75.0,3,48,2014-02-20,2015-12-01,2016-11-10
8537192,"Seattle, Washington, United States",within a day,72,73,f,Ballard,3.0,3.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,0.5,1.0,1.0,Real Bed,55.0,385.0,1650.0,,,1,0,,,2016-08-15
5919096,"Seattle, Washington, United States",within an hour,97,75,t,Ballard,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,129.0,903.0,3870.0,250.0,75.0,5,2,2015-05-17,2015-06-01,2016-05-22
6516529,"Seattle, Washington, United States",,88,74,f,Ballard,1.0,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,650.0,2000.0,,,1,0,,,2016-07-15
